,Perc_probability,worry,flood_experience,perc_damage,self_efficacy_DP,self_efficacy_WP,resp_efficacy_DP,resp_efficacy_WP,perc_cost_DP,perc_cost_WP,implemented_DP,implemented_WP,perc_risk
124,0.0,0.0,0,0.25,0.16666666666666669,0.5,0.0,0.0,0.6666666666666666,0.8333333333333333,0.0,0.0,0.0
125,0.0,0.0,0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,0.0
126,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
127,0.0,0.0,0,0.0,0.75,0.41666666666666663,0.41666666666666663,0.5833333333333334,0.41666666666666663,0.6666666666666666,0.0,0.0,0.0
129,0.001,0.25,0,0.0,0.8333333333333333,0.33333333333333337,0.5833333333333334,0.41666666666666663,0.5,0.8333333333333333,0.0,0.0,0.0
131,0.0,0.0,0,0.0,0.9166666666666667,0.75,0.5,0.5833333333333334,0.16666666666666669,0.5,0.0,0.0,0.0
132,0.0,0.0,0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
135,0.0,0.0,0,0.0,0.33333333333333337,0.0,0.0,0.0,1.0,0.9166666666666667,0.0,0.0,0.0
139,0.002,0.25,0,0.25,0.5833333333333334,0.33333333333333337,0.6666666666666666,0.8333333333333333,0.5833333333333334,0.8333333333333333,0.0,0.0,0.0005
140,0.02,0.0,1,0.0,0.0,0.0,0.08333333333333331,0.0,0.8333333333333333,0.41666666666666663,0.0,0.0,0.0
141,0.001,0.0,0,0.25,0.8333333333333333,0.6666666666666666,0.41666666666666663,0.5,0.5,0.6666666666666666,0.0,0.0,0.00025
142,0.0,0.25,0,0.75,0.5,0.5833333333333334,0.41666666666666663,0.6666666666666666,0.5833333333333334,0.5833333333333334,1.0,1.0,0.0
144,0.0,0.0,0,0.5,0.16666666666666669,0.0,0.75,0.8333333333333333,1.0,0.75,0.0,0.0,0.0
146,0.0,0.25,0,0.0,0.75,0.5,0.5,0.41666666666666663,0.5,0.5833333333333334,0.0,0.0,0.0
147,0.001,0.25,0,0.75,0.5,0.41666666666666663,0.25,0.41666666666666663,0.5,0.6666666666666666,0.0,0.0,0.00075
151,0.01,0.25,0,0.5,0.16666666666666669,0.08333333333333331,0.33333333333333337,0.5,0.5833333333333334,0.75,0.0,0.0,0.005
158,0.0,0.25,1,0.5,0.75,0.75,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.0
160,0.001,0.0,0,0.0,0.5833333333333334,0.5,0.75,0.5,0.33333333333333337,0.5,0.0,0.0,0.0
163,0.0,0.0,0,0.0,0.0,0.0,0.8333333333333333,0.75,0.5,0.75,0.0,0.0,0.0
166,0.002,0.25,0,0.0,0.6666666666666666,0.5,0.5,0.16666666666666669,0.5833333333333334,0.41666666666666663,1.0,0.0,0.0
167,0.002,0.0,0,0.25,0.0,0.0,0.41666666666666663,0.0,0.8333333333333333,0.8333333333333333,0.0,0.0,0.0005
