,R05_worry,Q18_flood_exp,Q0_age,Q53_income_UK,Q4_home_size_UK,R03_perc_damage,self_efficacy_DP,self_efficacy_WP,resp_efficacy_DP,resp_efficacy_WP,perc_cost_DP,perc_cost_WP,implemented_DP,implemented_WP,Perc_probability,Level_Education,annual_income,savings_multiplier,house_size,savings,weight_PMT,weight_SN
183,0.25,1,18,3,2,0.75,0.6666666666666666,0.5,0.75,0.5,0.75,0.5833333333333334,0.0,0.0,0.0,3.0,32707.149999999998,2.0,18.58736059479554,65414.299999999996,0.5,0.5
185,0.0,0,31,3,5,0.0,1.0,0.75,1.0,1.0,0.75,0.75,0.0,0.0,0.0,3.0,32707.149999999998,0.5,38.38289962825279,16353.574999999999,0.9,0.09999999999999998
187,0.25,1,58,5,4,0.75,0.08333333333333331,0.41666666666666663,0.9166666666666667,0.5833333333333334,0.75,0.6666666666666666,0.0,0.0,0.02,4.0,83518.75,4.0,34.85130111524164,334075.0,0.7,0.30000000000000004
188,0.0,0,61,5,6,0.0,0.5833333333333334,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.0,3.0,83518.75,4.0,105.57620817843866,334075.0,0.5,0.5
191,0.0,0,29,5,2,0.25,0.25,0.33333333333333337,0.75,0.5833333333333334,0.75,0.75,0.0,0.0,0.001,4.0,83518.75,4.0,18.58736059479554,334075.0,0.5,0.5
192,0.5,1,46,4,98,0.5,0.41666666666666663,0.41666666666666663,0.5833333333333334,0.33333333333333337,0.33333333333333337,0.25,0.0,0.0,0.005,4.0,44266.95,1.5,86.43122676579925,66400.42499999999,0.5,0.5
195,0.0,0,44,5,2,0.75,0.0,0.33333333333333337,0.5,0.33333333333333337,0.75,0.6666666666666666,0.0,0.0,0.0,3.0,83518.75,1.0,18.58736059479554,83518.75,0.3,0.7
196,0.0,1,46,5,4,0.0,1.0,0.0,0.16666666666666669,0.08333333333333331,0.5,0.8333333333333333,0.0,0.0,0.0,2.0,83518.75,4.0,34.85130111524164,334075.0,0.5,0.5
199,0.25,0,54,3,6,0.0,0.5833333333333334,0.5,0.33333333333333337,0.5,0.5833333333333334,0.8333333333333333,0.0,0.0,0.001,3.0,32707.149999999998,2.0,105.57620817843866,65414.299999999996,0.7,0.30000000000000004
200,0.0,1,67,5,6,0.0,0.25,0.16666666666666669,0.0,0.0,0.5,0.8333333333333333,0.0,0.0,0.0,3.0,83518.75,4.0,105.57620817843866,334075.0,0.1,0.9
201,0.0,0,63,4,6,0.5,0.25,0.25,0.33333333333333337,0.41666666666666663,0.5,0.6666666666666666,0.0,0.0,0.001,2.0,44266.95,4.0,105.57620817843866,177067.8,0.3,0.7
203,0.25,0,57,5,5,0.0,0.33333333333333337,0.16666666666666669,0.9166666666666667,0.6666666666666666,1.0,1.0,0.0,1.0,0.0,3.0,83518.75,4.0,38.38289962825279,334075.0,0.5,0.5
204,0.0,0,39,4,3,0.0,0.0,0.0,0.0,0.0,0.75,1.0,0.0,0.0,0.001,4.0,44266.95,4.0,24.442379182156134,177067.8,0.5,0.5
205,0.25,0,71,4,5,0.75,0.08333333333333331,0.08333333333333331,0.41666666666666663,0.5833333333333334,0.9166666666666667,0.9166666666666667,0.0,0.0,0.005,4.0,44266.95,2.0,38.38289962825279,88533.9,0.5,0.5
207,0.25,1,71,5,3,0.25,0.6666666666666666,0.33333333333333337,0.5,0.8333333333333333,0.8333333333333333,0.75,0.0,0.0,0.001,4.0,83518.75,2.0,24.442379182156134,167037.5,0.5,0.5
210,0.0,0,63,1,3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,18149.3,0.0,24.442379182156134,0.0,0.5,0.5
211,0.0,0,29,5,2,0.0,0.75,0.75,0.75,0.9166666666666667,1.0,0.75,0.0,0.0,0.0,4.0,83518.75,4.0,18.58736059479554,334075.0,0.7,0.30000000000000004
213,0.0,0,47,4,5,0.75,0.25,0.33333333333333337,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,3.0,44266.95,4.0,38.38289962825279,177067.8,0.7,0.30000000000000004
216,0.0,0,28,3,6,0.25,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,32707.149999999998,4.0,105.57620817843866,130828.59999999999,0.1,0.9
218,0.0,0,53,3,3,1.0,0.0,0.0,0.08333333333333331,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,3.0,32707.149999999998,4.0,24.442379182156134,130828.59999999999,0.9,0.09999999999999998
219,0.25,1,36,1,98,0.0,0.33333333333333337,0.25,0.33333333333333337,0.5833333333333334,0.41666666666666663,0.75,0.0,0.0,0.001,3.0,18149.3,0.0,86.43122676579925,0.0,0.3,0.7
